,BibNumber,Category Group,checkout_date,checkout_month
1228600,2269521,Nonfiction,2016-01-28,1
2614601,3047275,Nonfiction,2016-05-12,5
5553416,3099663,Fiction,2016-04-28,4
1518284,1888344,Nonfiction,2016-08-03,8
5718326,2447546,Fiction,2016-05-26,5
1364257,1594332,Nonfiction,2016-10-07,10
2596089,3087136,Nonfiction,2016-11-01,11
4428175,2540754,Fiction,2016-04-01,4
3757372,3024777,Fiction,2016-07-18,7
5089932,2884302,Nonfiction,2016-12-03,12
4194632,3166062,Fiction,2016-05-10,5
1113556,2995594,Fiction,2016-06-04,6
4509198,2982993,Fiction,2016-11-12,11
1244153,3010788,Nonfiction,2016-03-09,3
4540411,3035907,Fiction,2016-02-26,2
4530955,3027434,Fiction,2016-03-23,3
3546970,3141176,Fiction,2016-11-09,11
2349359,2430984,Nonfiction,2016-01-24,1
2755724,3134196,Nonfiction,2016-06-21,6
2308975,3119023,Nonfiction,2016-02-01,2
5750148,2726101,Fiction,2016-02-14,2
5382944,2765354,Fiction,2016-08-13,8
6186563,3044589,Fiction,2016-07-21,7
5469075,3003677,Fiction,2016-05-02,5
3811919,3148608,Fiction,2016-05-17,5
6123578,2671520,Fiction,2016-10-06,10
1146703,2947465,Fiction,2016-11-03,11
4713434,2928283,Nonfiction,2016-09-26,9
2656036,2687485,Nonfiction,2016-12-26,12
3252453,2969621,Fiction,2016-06-20,6
5498250,3210215,Fiction,2016-09-28,9
5910345,2810926,Fiction,2016-09-16,9
1260261,3126421,Nonfiction,2016-05-04,5
6334404,1773067,Nonfiction,2016-11-17,11
1477704,3113784,Nonfiction,2016-02-02,2
3758329,2739840,Fiction,2016-04-22,4
5771125,3068918,Fiction,2016-09-24,9
5340549,2942367,Fiction,2016-02-22,2
5775314,2957941,Fiction,2016-05-02,5
1404966,2439227,Nonfiction,2016-01-14,1
3746536,2097940,Fiction,2016-05-04,5
4304048,2469095,Nonfiction,2016-04-19,4
5225154,2664376,Fiction,2016-02-04,2
3266720,2617925,Fiction,2016-04-24,4
5919612,3082066,Fiction,2016-08-21,8
1387424,2543978,Nonfiction,2016-10-31,10
3699883,3061956,Fiction,2016-03-10,3
4308814,3077216,Fiction,2016-06-12,6
4307063,3057368,Nonfiction,2016-01-11,1
5846772,3113344,Fiction,2016-07-11,7
1137343,2692664,Fiction,2016-07-06,7
2261324,2866504,Nonfiction,2016-09-18,9
3502888,3148817,Fiction,2016-08-09,8
2335027,2029642,Nonfiction,2016-12-04,12
2363525,2883016,Nonfiction,2016-10-31,10
1541493,3061965,Fiction,2016-02-25,2
4363327,2906172,Fiction,2016-09-03,9
2324841,3004923,Nonfiction,2016-03-22,3
5850531,2685135,Fiction,2016-03-10,3
2559349,2741256,Nonfiction,2016-09-06,9
2144165,2882762,Fiction,2016-02-11,2
3554363,3181945,Fiction,2016-08-04,8
4350839,2740318,Fiction,2016-02-03,2
4995518,3183466,Fiction,2016-12-27,12
4730341,3065239,Nonfiction,2016-11-09,11
5240134,3136065,Fiction,2016-02-20,2
3774930,3176623,Fiction,2016-07-03,7
3840291,3086795,Fiction,2016-04-04,4
2475880,1823203,Nonfiction,2016-01-11,1
5363399,2237970,Fiction,2016-04-14,4
3856515,3165391,Fiction,2016-12-10,12
4378167,2881361,Fiction,2016-08-11,8
2752463,3143584,Nonfiction,2016-06-08,6
3546484,3208180,Fiction,2016-12-03,12
3558560,3170759,Fiction,2016-06-29,6
4775888,2738830,Nonfiction,2016-12-28,12
3685813,3143052,Fiction,2016-12-10,12
1254856,2945569,Nonfiction,2016-11-02,11
2608910,2883267,Nonfiction,2016-11-30,11
5051496,3170641,Fiction,2016-12-11,12
2755551,2875645,Nonfiction,2016-08-19,8
3096437,2302236,Nonfiction,2016-10-27,10
5462721,721331,Nonfiction,2016-05-28,5
5073356,2598386,Fiction,2016-07-10,7
3198250,2988459,Fiction,2016-07-07,7
6285734,86995,Fiction,2016-11-20,11
2629417,3091464,Nonfiction,2016-11-01,11
1438863,2172551,Nonfiction,2016-03-30,3
5569684,3144080,Fiction,2016-03-11,3
5706935,2928287,Nonfiction,2016-08-08,8
1335369,3091970,Nonfiction,2016-09-29,9
3718444,3103718,Fiction,2016-03-25,3
3172394,3179986,Fiction,2016-11-28,11
5891476,3122748,Fiction,2016-03-20,3
5888242,3144080,Fiction,2016-03-20,3
2697772,2305452,Nonfiction,2016-10-27,10
2371991,2988565,Nonfiction,2016-11-16,11
5528667,2838546,Fiction,2016-05-03,5
3248391,3021145,Fiction,2016-11-16,11
2129834,3066870,Fiction,2016-01-29,1
5067479,2942848,Fiction,2016-03-19,3
3518897,3091222,Fiction,2016-01-29,1
1224593,2984907,Nonfiction,2016-06-15,6
1514424,2793003,Nonfiction,2016-12-28,12
5389193,2307612,Fiction,2016-05-29,5
4407815,3089706,Fiction,2016-10-25,10
2445950,3217911,Nonfiction,2016-11-07,11
4323319,3125166,Fiction,2016-01-19,1
6252722,2858555,Language,2016-05-02,5
3625591,118481,Fiction,2016-02-23,2
2120870,3133781,Fiction,2016-11-06,11
5369380,2348114,Fiction,2016-05-31,5
2194288,2332942,Fiction,2016-04-07,4
5367652,2059128,Fiction,2016-05-31,5
3274236,2259340,Fiction,2016-04-10,4
5728452,2531166,Fiction,2016-02-25,2
5782488,3084637,Fiction,2016-11-21,11
5724190,2954690,Fiction,2016-02-14,2
2762120,3148627,Nonfiction,2016-12-14,12
5107349,2947349,Fiction,2016-01-23,1
5899643,2743990,Fiction,2016-01-09,1
3724990,2865888,Fiction,2016-07-14,7
2648279,2858612,Nonfiction,2016-04-10,4
4788326,3003806,Nonfiction,2016-10-27,10
4742565,3084713,Nonfiction,2016-06-01,6
2560922,2571784,Nonfiction,2016-10-01,10
5849081,2739798,Fiction,2016-12-22,12
2764165,2834600,Nonfiction,2016-03-22,3
6252745,3207062,Language,2016-12-28,12
4377012,2617596,Fiction,2016-01-29,1
2177555,2356113,Fiction,2016-05-17,5
3553873,3136012,Fiction,2016-10-17,10
2142782,2850582,Fiction,2016-09-19,9
5266016,2294510,Fiction,2016-10-19,10
3521445,2684532,Fiction,2016-05-06,5
4511422,2629692,Fiction,2016-06-07,6
5794760,2883490,Fiction,2016-07-19,7
6105183,2436121,Fiction,2016-08-22,8
5567488,3024693,Fiction,2016-09-15,9
5051283,2614551,Fiction,2016-01-27,1
5815781,2994390,Fiction,2016-08-03,8
6113606,3180270,Fiction,2016-10-13,10
2385533,2859128,Nonfiction,2016-06-23,6
1512626,3141728,Nonfiction,2016-05-24,5
4278451,3209387,Fiction,2016-12-10,12
5822533,2929785,Fiction,2016-12-18,12
5281384,2794952,Fiction,2016-03-29,3
3685091,2858344,Fiction,2016-07-06,7
3606350,2802107,Fiction,2016-06-12,6
1284707,3099521,Nonfiction,2016-01-20,1
2606232,3051196,Nonfiction,2016-08-01,8
3191697,2881397,Fiction,2016-09-15,9
5880976,3161437,Nonfiction,2016-05-25,5
2578603,2844194,Nonfiction,2016-11-21,11
4488714,1831517,Fiction,2016-06-22,6
2678118,2811216,Nonfiction,2016-01-26,1
5543052,2458249,Fiction,2016-06-14,6
1252813,2203247,Nonfiction,2016-05-12,5
3520260,2935727,Fiction,2016-04-05,4
4251663,3118960,Fiction,2016-04-27,4
1473140,197227,Nonfiction,2016-05-15,5
4265499,3143254,Fiction,2016-04-12,4
3826656,3118337,Fiction,2016-02-06,2
2434231,2965700,Nonfiction,2016-04-03,4
2319940,2953176,Nonfiction,2016-09-10,9
3610103,3146377,Fiction,2016-01-02,1
2353662,3197076,Nonfiction,2016-07-17,7
4468913,2684588,Fiction,2016-08-14,8
3810363,3113897,Fiction,2016-04-04,4
5662799,2915765,Nonfiction,2016-12-17,12
4447315,2941522,Fiction,2016-02-22,2
5781995,2926633,Fiction,2016-09-04,9
3523455,2709807,Fiction,2016-06-16,6
2645767,3065651,Nonfiction,2016-03-05,3
5116587,3209654,Fiction,2016-09-15,9
3106878,3145504,Nonfiction,2016-05-25,5
1318439,3109015,Nonfiction,2016-07-06,7
1560366,2876591,Fiction,2016-08-15,8
1459353,3056957,Nonfiction,2016-08-28,8
6314559,2326749,Nonfiction,2016-12-14,12
6356377,2980552,Nonfiction,2016-02-04,2
2661168,2960325,Nonfiction,2016-07-21,7
5893307,3103867,Fiction,2016-06-19,6
5600645,3203120,Fiction,2016-09-06,9
4400951,2926703,Fiction,2016-08-17,8
3786717,3176647,Fiction,2016-08-11,8
2279818,3096913,Nonfiction,2016-06-22,6
3672894,3156094,Fiction,2016-12-05,12
1392905,2483258,Nonfiction,2016-09-15,9
2494911,3198419,Nonfiction,2016-12-02,12
6105685,1773404,Fiction,2016-08-21,8
2352275,2984058,Nonfiction,2016-08-11,8
4383269,2906177,Fiction,2016-12-12,12
4553610,2758756,Fiction,2016-09-13,9
3249375,2908988,Fiction,2016-08-03,8
5646461,3167637,Nonfiction,2016-08-31,8
2763178,3160247,Nonfiction,2016-12-07,12
2198777,2389284,Language,2016-06-26,6
5074851,3003608,Fiction,2016-09-25,9
5705817,2562123,Nonfiction,2016-09-27,9
6402139,2523839,Nonfiction,2016-02-20,2
3190294,2847993,Fiction,2016-05-15,5
5880340,2481060,Nonfiction,2016-09-01,9
4192382,3194768,Fiction,2016-09-26,9
1167970,2633439,Fiction,2016-06-13,6
2555273,2747735,Nonfiction,2016-11-06,11
3804262,3144393,Fiction,2016-07-09,7
5665093,3143938,Nonfiction,2016-03-08,3
4270931,3218062,Fiction,2016-12-07,12
6147402,3045454,Fiction,2016-08-03,8
1183542,2917480,Nonfiction,2016-03-29,3
5802873,2963172,Fiction,2016-04-21,4
6098498,2258366,Fiction,2016-02-27,2
4401972,3182275,Fiction,2016-10-29,10
2655677,2982944,Nonfiction,2016-05-04,5
5557050,2832038,Fiction,2016-08-17,8
3219155,3196305,Fiction,2016-09-19,9
2612703,3117356,Nonfiction,2016-01-25,1
3791625,3173429,Fiction,2016-04-19,4
5908820,3220251,Fiction,2016-12-30,12
5824021,2635476,Fiction,2016-03-08,3
4450085,3133252,Fiction,2016-08-16,8
5262644,8070,Fiction,2016-09-13,9
1239650,2608087,Nonfiction,2016-09-23,9
3825978,3160134,Fiction,2016-06-29,6
3690841,3007030,Fiction,2016-12-14,12
1345070,2153375,Nonfiction,2016-04-09,4
2453482,2982412,Nonfiction,2016-04-02,4
6275371,2953362,Fiction,2016-05-24,5
4771351,3083161,Nonfiction,2016-10-24,10
5461031,2919271,Nonfiction,2016-08-30,8
1157866,3176276,Fiction,2016-06-11,6
2517524,3101460,Nonfiction,2016-04-27,4
1263891,3062162,Nonfiction,2016-10-08,10
1321042,3172163,Nonfiction,2016-05-02,5
3168556,3143009,Fiction,2016-07-10,7
2491538,2820963,Nonfiction,2016-03-14,3
3672199,2743194,Fiction,2016-03-22,3
2275221,2623134,Nonfiction,2016-07-18,7
4265450,3132444,Fiction,2016-02-29,2
3299310,3154153,Fiction,2016-02-03,2
2529965,3091907,Nonfiction,2016-01-09,1
1331317,2688210,Nonfiction,2016-04-11,4
2200013,2255240,Language,2016-05-18,5
2121777,3208302,Fiction,2016-09-27,9
5215726,2808467,Fiction,2016-02-29,2
4174364,2983446,Language,2016-02-01,2
